id,source,type
nhd_14726284,bathybase,bathymetry
nhd_120052176,bathybase,bathymetry
nhd_14726662,bathybase,bathymetry
nhd_6866469,bathybase,bathymetry
nhd_13394595,bathybase,bathymetry
nhd_13394253,bathybase,bathymetry
nhd_2454776,bathybase,bathymetry
nhd_13138501,bathybase,bathymetry
nhd_13134709,bathybase,bathymetry
nhd_6866613,bathybase,bathymetry
nhd_9035735,bathybase,bathymetry
nhd_9035845,bathybase,bathymetry
nhd_9036137,bathybase,bathymetry
nhd_9035729,bathybase,bathymetry
nhd_13097728,bathybase,bathymetry
nhd_13102611,bathybase,bathymetry
nhd_14729180,bathybase,bathymetry
nhd_6864373,bathybase,bathymetry
nhd_12980565,bathybase,bathymetry
nhd_12991541,bathybase,bathymetry
nhd_12988983,bathybase,bathymetry
nhd_13349370,bathybase,bathymetry
nhd_13345714,bathybase,bathymetry
nhd_13345726,bathybase,bathymetry
nhd_13344020,bathybase,bathymetry
nhd_13123946,bathybase,bathymetry
nhd_9029911,bathybase,bathymetry
nhd_13117608,bathybase,bathymetry
nhd_6866553,bathybase,bathymetry
nhd_2266211,bathybase,bathymetry
nhd_12162818,bathybase,bathymetry
nhd_1813543,bathybase,bathymetry
nhd_1813733,bathybase,bathymetry
nhd_1813701,bathybase,bathymetry
nhd_1813727,bathybase,bathymetry
nhd_6791805,bathybase,bathymetry
nhd_6866301,bathybase,bathymetry
nhd_12161226,bathybase,bathymetry
nhd_9022639,bathybase,bathymetry
nhd_12161140,bathybase,bathymetry
nhd_12176206,bathybase,bathymetry
nhd_6808544,bathybase,bathymetry
nhd_6819970,bathybase,bathymetry
nhd_6819874,bathybase,bathymetry
nhd_6818344,bathybase,bathymetry
nhd_6866345,bathybase,bathymetry
nhd_6818330,bathybase,bathymetry
nhd_6842183,bathybase,bathymetry
nhd_12176188,bathybase,bathymetry
nhd_12176166,bathybase,bathymetry
nhd_6842791,bathybase,bathymetry
nhd_12173068,bathybase,bathymetry
nhd_12174574,bathybase,bathymetry
nhd_6842187,bathybase,bathymetry
nhd_14445790,bathybase,bathymetry
nhd_14767842,bathybase,bathymetry
nhd_6866369,bathybase,bathymetry
nhd_14767924,bathybase,bathymetry
